15,0,300
45,0,300
75,0,300
105,0,300
135,0,300
165,0,300
195,0,300
225,0,300
255,0,300
285,0,300
315,0,300
345,0,300
375,0,300
405,0,300
435,0,300
465,0,300
495,0,300
525,0,300
555,0,300
585,0,300
0,0,285
15,0,285
45,0,285
75,0,285
105,0,285
135,0,285
165,0,285
195,0,285
225,0,285
255,0,285
285,0,285
315,0,285
345,0,285
375,0,285
405,0,285
435,0,285
465,0,285
495,0,285
525,0,285
555,0,285
585,0,285
600,0,285
0,0,255
15,0,255
45,0,255
75,0,255
105,0,255
135,0,255
165,0,255
195,0,255
225,0,255
255,0,255
285,0,255
315,0,255
345,0,255
375,0,255
405,0,255
435,0,255
465,0,255
495,0,255
525,0,255
555,0,255
585,0,255
600,0,255
0,0,225
15,0,225
45,0,225
75,0,225
105,0,225
135,0,225
165,0,225
195,0,225
225,0,225
255,0,225
285,0,225
315,0,225
345,0,225
375,0,225
405,0,225
435,0,225
465,0,225
495,0,225
525,0,225
555,0,225
585,0,225
600,0,225
0,0,195
15,0,195
45,0,195
75,0,195
105,0,195
135,0,195
165,0,195
195,0,195
225,0,195
255,0,195
285,0,195
315,0,195
345,0,195
375,0,195
405,0,195
435,0,195
465,0,195
495,0,195
525,0,195
555,0,195
585,0,195
600,0,195
0,0,165
15,0,165
45,0,165
75,0,165
105,0,165
135,0,165
165,0,165
195,0,165
225,0,165
255,0,165
285,0,165
315,0,165
345,0,165
375,0,165
405,0,165
435,0,165
465,0,165
495,0,165
525,0,165
555,0,165
585,0,165
600,0,165
0,0,135
15,0,135
45,0,135
75,0,135
105,0,135
135,0,135
165,0,135
195,0,135
225,0,135
255,0,135
285,0,135
315,0,135
345,0,135
375,0,135
405,0,135
435,0,135
465,0,135
495,0,135
525,0,135
555,0,135
585,0,135
600,0,135
0,0,105
15,0,105
45,0,105
75,0,105
105,0,105
135,0,105
165,0,105
195,0,105
225,0,105
255,0,105
285,0,105
315,0,105
345,0,105
375,0,105
405,0,105
435,0,105
465,0,105
495,0,105
525,0,105
555,0,105
585,0,105
600,0,105
0,0,75
15,0,75
45,0,75
75,0,75
105,0,75
135,0,75
165,0,75
195,0,75
225,0,75
255,0,75
285,0,75
315,0,75
345,0,75
375,0,75
405,0,75
435,0,75
465,0,75
495,0,75
525,0,75
555,0,75
585,0,75
600,0,75
0,0,45
15,0,45
45,0,45
75,0,45
105,0,45
135,0,45
165,0,45
195,0,45
225,0,45
255,0,45
285,0,45
315,0,45
345,0,45
375,0,45
405,0,45
435,0,45
465,0,45
495,0,45
525,0,45
555,0,45
585,0,45
600,0,45
0,0,15
15,0,15
45,0,15
75,0,15
105,0,15
135,0,15
165,0,15
195,0,15
225,0,15
255,0,15
285,0,15
315,0,15
345,0,15
375,0,15
405,0,15
435,0,15
465,0,15
495,0,15
525,0,15
555,0,15
585,0,15
600,0,15
15,0,0
45,0,0
75,0,0
105,0,0
135,0,0
165,0,0
195,0,0
225,0,0
255,0,0
285,0,0
315,0,0
345,0,0
375,0,0
405,0,0
435,0,0
465,0,0
495,0,0
525,0,0
555,0,0
585,0,0
