                                                                                     
                                                                                     
                                                                                     
***********   MASTAN2 v5.2.2 (July 31, 2024)   ***********                           
                                                                                     
Time:  10:51:30      Date:  16-Jul-2025                                              
                                                                                     
Problem Title:   MODELO 02 - BEAM - CORRIGIDO MOMENT                                 
**************                                                                       
                                                                                     
=============================                                                        
Input for Structural Analysis                                                        
=============================                                                        
                                                                                     
General Information Categories:                                                      
                                                                                     
(i)   Number of Nodes = 231                                                          
(ii)  Number of Elements = 430                                                       
(iii) Number of Sections = 3                                                         
(iv)  Number of Materials = 1                                                        
(v)   Number of Supports = 4                                                         
(vi)  Applied Loads                                                                  
                                                                                     
(i)   Node Information                                                               
                                                                                     
  Coordinates                                                                        
     Node        X             Y             Z                                       
     192     6.0000e+01    0.0000e+00    3.0000e+01                                  
     193     9.0000e+01    0.0000e+00    3.0000e+01                                  
     194     1.2000e+02    0.0000e+00    3.0000e+01                                  
     195     1.5000e+02    0.0000e+00    3.0000e+01                                  
     196     1.8000e+02    0.0000e+00    3.0000e+01                                  
     197     2.1000e+02    0.0000e+00    3.0000e+01                                  
     198     2.4000e+02    0.0000e+00    3.0000e+01                                  
     199     2.7000e+02    0.0000e+00    3.0000e+01                                  
     200     3.0000e+02    0.0000e+00    3.0000e+01                                  
     201     3.3000e+02    0.0000e+00    3.0000e+01                                  
     202     3.6000e+02    0.0000e+00    3.0000e+01                                  
     203     3.9000e+02    0.0000e+00    3.0000e+01                                  
     204     4.2000e+02    0.0000e+00    3.0000e+01                                  
     205     4.5000e+02    0.0000e+00    3.0000e+01                                  
     206     4.8000e+02    0.0000e+00    3.0000e+01                                  
     207     5.1000e+02    0.0000e+00    3.0000e+01                                  
     208     5.4000e+02    0.0000e+00    3.0000e+01                                  
     209     5.7000e+02    0.0000e+00    3.0000e+01                                  
     210     6.0000e+02    0.0000e+00    3.0000e+01                                  
     211     0.0000e+00    0.0000e+00    0.0000e+00                                  
     212     3.0000e+01    0.0000e+00    0.0000e+00                                  
     213     6.0000e+01    0.0000e+00    0.0000e+00                                  
     214     9.0000e+01    0.0000e+00    0.0000e+00                                  
     215     1.2000e+02    0.0000e+00    0.0000e+00                                  
     216     1.5000e+02    0.0000e+00    0.0000e+00                                  
     217     1.8000e+02    0.0000e+00    0.0000e+00                                  
     218     2.1000e+02    0.0000e+00    0.0000e+00                                  
     219     2.4000e+02    0.0000e+00    0.0000e+00                                  
     220     2.7000e+02    0.0000e+00    0.0000e+00                                  
     221     3.0000e+02    0.0000e+00    0.0000e+00                                  
     222     3.3000e+02    0.0000e+00    0.0000e+00                                  
     223     3.6000e+02    0.0000e+00    0.0000e+00                                  
     224     3.9000e+02    0.0000e+00    0.0000e+00                                  
     225     4.2000e+02    0.0000e+00    0.0000e+00                                  
     226     4.5000e+02    0.0000e+00    0.0000e+00                                  
     227     4.8000e+02    0.0000e+00    0.0000e+00                                  
     228     5.1000e+02    0.0000e+00    0.0000e+00                                  
     229     5.4000e+02    0.0000e+00    0.0000e+00                                  
     230     5.7000e+02    0.0000e+00    0.0000e+00                                  
     231     6.0000e+02    0.0000e+00    0.0000e+00                                  
                                                                                     
  Fixities                                                                           
     Node      X        Y        Z      X Rot    Y Rot    Z Rot                      
       1     FIXED    FIXED    FIXED    FIXED    FIXED    FIXED                      
       2     FREE     FREE     FREE     FREE     FREE     FREE                       
       3     FREE     FREE     FREE     FREE     FREE     FREE                       
       4     FREE     FREE     FREE     FREE     FREE     FREE                       
       5     FREE     FREE     FREE     FREE     FREE     FREE                       
       6     FREE     FREE     FREE     FREE     FREE     FREE                       
       7     FREE     FREE     FREE     FREE     FREE     FREE                       
       8     FREE     FREE     FREE     FREE     FREE     FREE                       
       9     FREE     FREE     FREE     FREE     FREE     FREE                       
      10     FREE     FREE     FREE     FREE     FREE     FREE                       
      11     FREE     FREE     FREE     FREE     FREE     FREE                       
      12     FREE     FREE     FREE     FREE     FREE     FREE                       
      13     FREE     FREE     FREE     FREE     FREE     FREE                       
      14     FREE     FREE     FREE     FREE     FREE     FREE                       
      15     FREE     FREE     FREE     FREE     FREE     FREE                       
      16     FREE     FREE     FREE     FREE     FREE     FREE                       
      17     FREE     FREE     FREE     FREE     FREE     FREE                       
      18     FREE     FREE     FREE     FREE     FREE     FREE                       
      19     FREE     FREE     FREE     FREE     FREE     FREE                       
      20     FREE     FREE     FREE     FREE     FREE     FREE                       
      21     FIXED    FIXED    FIXED    FIXED    FIXED    FIXED                      
      22     FREE     FREE     FREE     FREE     FREE     FREE                       
      23     FREE     FREE     FREE     FREE     FREE     FREE                       
      24     FREE     FREE     FREE     FREE     FREE     FREE                       
      25     FREE     FREE     FREE     FREE     FREE     FREE                       
      26     FREE     FREE     FREE     FREE     FREE     FREE                       
      27     FREE     FREE     FREE     FREE     FREE     FREE                       
      28     FREE     FREE     FREE     FREE     FREE     FREE                       
      29     FREE     FREE     FREE     FREE     FREE     FREE                       
      30     FREE     FREE     FREE     FREE     FREE     FREE                       
      31     FREE     FREE     FREE     FREE     FREE     FREE                       
      32     FREE     FREE     FREE     FREE     FREE     FREE                       
      33     FREE     FREE     FREE     FREE     FREE     FREE                       
      34     FREE     FREE     FREE     FREE     FREE     FREE                       
      35     FREE     FREE     FREE     FREE     FREE     FREE                       
      36     FREE     FREE     FREE     FREE     FREE     FREE                       
      37     FREE     FREE     FREE     FREE     FREE     FREE                       
      38     FREE     FREE     FREE     FREE     FREE     FREE                       
      39     FREE     FREE     FREE     FREE     FREE     FREE                       
      40     FREE     FREE     FREE     FREE     FREE     FREE                       
      41     FREE     FREE     FREE     FREE     FREE     FREE                       
      42     FREE     FREE     FREE     FREE     FREE     FREE                       
      43     FREE     FREE     FREE     FREE     FREE     FREE                       
      44     FREE     FREE     FREE     FREE     FREE     FREE                       
      45     FREE     FREE     FREE     FREE     FREE     FREE                       
      46     FREE     FREE     FREE     FREE     FREE     FREE                       
      47     FREE     FREE     FREE     FREE     FREE     FREE                       
      48     FREE     FREE     FREE     FREE     FREE     FREE                       
      49     FREE     FREE     FREE     FREE     FREE     FREE                       
      50     FREE     FREE     FREE     FREE     FREE     FREE                       
      51     FREE     FREE     FREE     FREE     FREE     FREE                       
      52     FREE     FREE     FREE     FREE     FREE     FREE                       
      53     FREE     FREE     FREE     FREE     FREE     FREE                       
      54     FREE     FREE     FREE     FREE     FREE     FREE                       
      55     FREE     FREE     FREE     FREE     FREE     FREE                       
      56     FREE     FREE     FREE     FREE     FREE     FREE                       
      57     FREE     FREE     FREE     FREE     FREE     FREE                       
      58     FREE     FREE     FREE     FREE     FREE     FREE                       
      59     FREE     FREE     FREE     FREE     FREE     FREE                       
      60     FREE     FREE     FREE     FREE     FREE     FREE                       
      61     FREE     FREE     FREE     FREE     FREE     FREE                       
      62     FREE     FREE     FREE     FREE     FREE     FREE                       
      63     FREE     FREE     FREE     FREE     FREE     FREE                       
      64     FREE     FREE     FREE     FREE     FREE     FREE                       
      65     FREE     FREE     FREE     FREE     FREE     FREE                       
      66     FREE     FREE     FREE     FREE     FREE     FREE                       
