GRELHA_ECC840_2025_1_MODELO_02
NN
235
NB
430
NOS
1	0	300
2	30	300
3	60	300
4	90	300
5	120	300
6	150	300
7	180	300
8	210	300
9	240	300
10	270	300
11	300	300
12	330	300
13	360	300
14	390	300
15	420	300
16	450	300
17	480	300
18	510	300
19	540	300
20	570	300
21	600	300
22	0	270
23	30	270
24	60	270
25	90	270
26	120	270
27	150	270
28	180	270
29	210	270
30	240	270
31	270	270
32	300	270
33	330	270
34	360	270
35	390	270
36	420	270
37	450	270
38	480	270
39	510	270
40	540	270
41	570	270
42	600	270
43	0	240
44	30	240
45	60	240
46	90	240
47	120	240
48	150	240
49	180	240
50	210	240
51	240	240
52	270	240
53	300	240
54	330	240
55	360	240
56	390	240
57	420	240
58	450	240
59	480	240
60	510	240
61	540	240
62	570	240
63	600	240
64	0	210
65	30	210
66	60	210
67	90	210
68	120	210
69	150	210
70	180	210
71	210	210
72	240	210
73	270	210
74	300	210
75	330	210
76	360	210
77	390	210
78	420	210
79	450	210
80	480	210
81	510	210
82	540	210
83	570	210
84	600	210
85	0	180
86	30	180
87	60	180
88	90	180
89	120	180
90	150	180
91	180	180
92	210	180
93	240	180
94	270	180
95	300	180
96	330	180
97	360	180
98	390	180
99	420	180
100	450	180
101	480	180
102	510	180
103	540	180
104	570	180
105	600	180
106	0	150
107	30	150
108	60	150
109	90	150
110	120	150
111	150	150
112	180	150
113	210	150
114	240	150
115	270	150
116	300	150
117	330	150
118	360	150
119	390	150
120	420	150
121	450	150
122	480	150
123	510	150
124	540	150
125	570	150
126	600	150
127	0	120
128	30	120
129	60	120
130	90	120
131	120	120
132	150	120
133	180	120
134	210	120
135	240	120
136	270	120
137	300	120
138	330	120
139	360	120
140	390	120
141	420	120
142	450	120
143	480	120
144	510	120
145	540	120
146	570	120
147	600	120
148	0	90
149	30	90
150	60	90
151	90	90
152	120	90
153	150	90
154	180	90
155	210	90
156	240	90
157	270	90
158	300	90
159	330	90
160	360	90
161	390	90
162	420	90
163	450	90
164	480	90
165	510	90
166	540	90
167	570	90
168	600	90
169	0	60
170	30	60
171	60	60
172	90	60
173	120	60
174	150	60
175	180	60
176	210	60
177	240	60
178	270	60
179	300	60
180	330	60
181	360	60
182	390	60
183	420	60
184	450	60
185	480	60
186	510	60
187	540	60
188	570	60
189	600	60
190	0	30
191	30	30
192	60	30
193	90	30
194	120	30
195	150	30
196	180	30
197	210	30
198	240	30
199	270	30
200	300	30
201	330	30
202	360	30
203	390	30
204	420	30
205	450	30
206	480	30
207	510	30
208	540	30
209	570	30
210	600	30
211	0	0
212	30	0
213	60	0
214	90	0
215	120	0
216	150	0
217	180	0
218	210	0
219	240	0
220	270	0
221	300	0
222	330	0
223	360	0
224	390	0
225	420	0
226	450	0
227	480	0
228	510	0
229	540	0
230	570	0
231	600	0
232	0	0
233	0	600
234	0	300
235	300	600
BARRAS
1	1	2	10985.0	5492.5	2380.0	991.7
2	2	3	10985.0	5492.5	2380.0	991.7
3	3	4	10985.0	5492.5	2380.0	991.7
4	4	5	10985.0	5492.5	2380.0	991.7
5	5	6	10985.0	5492.5	2380.0	991.7
6	6	7	10985.0	5492.5	2380.0	991.7
